shot_id,action_type,combined_shot_type,loc_x,loc_y,period,playoffs,time_remaining,shot_distance,shot_type,shot_zone_area,shot_zone_basic,game_date,home_away,opponent,target
152,0,0,7,169,2,0,254,16,0,0,0,1472,1,4,
153,2,1,0,0,2,0,202,0,0,0,1,1472,1,4,
156,13,3,0,0,2,0,26,0,0,0,1,1472,1,4,
159,21,2,0,0,3,0,233,0,0,0,1,1472,1,4,
165,12,2,0,0,4,0,332,0,0,0,1,1472,1,4,
172,0,0,70,194,1,0,96,20,0,1,0,1474,0,3,
182,14,2,0,0,4,0,704,0,0,0,1,1474,0,3,
192,0,0,174,-6,1,0,384,17,0,2,0,1476,0,4,
193,2,1,0,0,1,0,362,0,0,0,1,1476,0,4,
196,0,0,153,4,1,0,18,15,0,2,0,1476,0,4,
202,0,0,-162,66,3,0,605,17,0,4,0,1476,0,4,
210,0,0,-214,156,4,0,319,26,1,3,2,1476,0,4,
211,0,0,-149,137,4,0,218,20,0,3,0,1476,0,4,
228,11,2,0,0,3,0,4,0,0,0,1,1477,1,24,
257,0,0,106,154,1,0,382,18,0,1,0,1482,1,7,
260,0,0,106,154,1,0,205,18,0,1,0,1482,1,7,
264,0,0,115,137,3,0,558,17,0,1,0,1482,1,7,
267,3,0,-141,-19,3,0,192,14,0,4,0,1482,1,7,
279,14,2,0,0,1,0,317,0,0,0,1,1485,0,9,
282,0,0,98,141,2,0,158,17,0,1,0,1485,0,9,
293,0,0,51,116,4,0,639,12,0,0,3,1485,0,9,
299,5,0,-65,106,2,0,491,12,0,4,3,1486,1,14,
300,3,0,-115,106,2,0,371,15,0,4,0,1486,1,14,
301,5,0,-86,55,2,0,347,10,0,4,0,1486,1,14,
317,0,0,-117,217,4,0,563,24,1,3,2,1486,1,14,
327,0,0,167,184,2,0,28,24,1,1,2,1488,0,13,
328,0,0,129,19,3,0,659,13,0,2,0,1488,0,13,
335,1,1,0,0,1,0,494,0,0,0,1,1489,1,0,
346,5,0,-16,55,2,0,194,5,0,0,3,1489,1,0,
348,0,0,26,68,3,0,615,7,0,0,3,1489,1,0,
365,0,0,-16,181,1,0,678,18,0,0,0,1491,1,10,
390,2,1,0,0,4,0,256,0,0,0,1,1491,1,10,
391,2,1,0,0,4,0,74,0,0,0,1,1491,1,10,
392,5,0,-73,11,4,0,41,7,0,0,3,1491,1,10,
397,0,0,117,247,1,0,87,27,1,1,2,1493,1,15,
418,0,0,153,181,4,0,256,23,0,1,0,1493,1,15,
428,0,0,-147,0,1,0,0,14,0,4,0,1494,0,8,
434,3,0,-60,66,2,0,33,8,0,4,3,1494,0,8,
439,1,1,0,0,3,0,505,0,0,0,1,1494,0,8,
440,0,0,96,228,3,0,397,24,1,1,2,1494,0,8,
456,0,0,-86,133,1,0,703,15,0,4,0,1496,1,13,
459,0,0,60,34,1,0,384,6,0,0,3,1496,1,13,
472,0,0,117,171,3,0,455,20,0,1,0,1496,1,13,
480,0,0,-101,4,4,0,103,10,0,4,0,1496,1,13,
491,0,0,153,226,2,0,79,27,1,1,2,1498,1,17,
497,0,0,87,127,3,0,316,15,0,2,0,1498,1,17,
509,0,0,32,257,1,0,153,25,1,0,2,1500,1,26,
511,0,0,180,192,1,0,44,26,1,1,2,1500,1,26,
523,0,0,-16,106,3,0,0,10,0,0,3,1500,1,26,
533,0,0,161,108,1,0,533,19,0,2,0,1501,0,5,
544,1,1,0,0,2,0,71,0,0,0,1,1501,0,5,
546,0,0,226,4,3,0,516,22,1,2,4,1501,0,5,
555,2,1,0,0,4,0,47,0,0,0,1,1501,0,5,
558,0,0,45,253,1,0,678,25,1,0,2,1503,1,31,
560,0,0,-143,78,1,0,437,16,0,4,0,1503,1,31,
573,0,0,-149,34,3,0,390,15,0,4,0,1503,1,31,
591,0,0,123,188,3,0,146,22,0,1,0,1505,0,19,
596,0,0,-4,99,4,0,493,9,0,0,3,1505,0,19,
597,0,0,-134,177,4,0,374,22,0,3,0,1505,0,19,
601,3,0,-48,72,4,0,48,8,0,4,3,1505,0,19,
605,0,0,110,165,1,0,519,19,0,1,0,1507,0,21,
617,0,0,125,0,3,0,633,12,0,2,0,1507,0,21,
628,0,0,-166,0,4,0,18,16,0,4,0,1507,0,21,
634,0,0,159,78,1,0,223,17,0,2,0,1509,0,2,
646,0,0,56,23,3,0,200,6,0,0,3,1509,0,2,
649,0,0,106,133,4,0,584,17,0,1,0,1509,0,2,
651,2,1,0,0,4,0,376,0,0,0,1,1509,0,2,
654,12,2,0,0,4,0,11,0,0,0,1,1509,0,2,
656,1,1,0,0,1,0,666,0,0,0,1,1510,0,10,
657,0,0,3,137,1,0,647,13,0,0,3,1510,0,10,
669,0,0,167,93,3,0,541,19,0,2,0,1510,0,10,
670,14,2,0,0,3,0,351,0,0,0,1,1510,0,10,
693,3,0,-44,55,4,0,109,7,0,0,3,1513,1,5,
694,0,0,-71,99,4,0,82,12,0,4,3,1513,1,5,
699,0,0,-27,169,1,0,270,17,0,0,0,1516,0,1,
711,0,0,167,97,3,0,367,19,0,2,0,1516,0,1,
718,0,0,144,61,1,0,353,15,0,2,0,1518,0,9,
722,0,0,153,0,2,0,630,15,0,2,0,1518,0,9,
723,0,0,-191,188,2,0,535,26,1,3,2,1518,0,9,
725,3,0,16,82,2,0,333,8,0,0,3,1518,0,9,
734,0,0,153,61,1,0,425,16,0,2,0,1522,1,6,
735,1,1,0,0,1,0,361,0,0,0,1,1522,1,6,
737,5,0,-44,40,1,0,53,5,0,0,3,1522,1,6,
746,0,0,159,17,3,0,586,15,0,2,0,1522,1,6,
747,3,0,159,99,3,0,327,18,0,2,0,1522,1,6,
766,0,0,11,270,2,0,349,27,1,0,2,1526,1,9,
767,0,0,-176,13,2,0,337,17,0,4,0,1526,1,9,
771,0,0,-136,13,2,0,25,13,0,4,0,1526,1,9,
773,0,0,-71,13,3,0,680,7,0,0,3,1526,1,9,
774,0,0,-1,175,3,0,525,17,0,0,0,1526,1,9,
783,0,0,-10,72,2,0,612,7,0,0,3,1531,1,23,
784,0,0,-149,198,2,0,269,24,1,3,2,1531,1,23,
789,0,0,-164,28,3,0,511,16,0,4,0,1531,1,23,
792,0,0,186,171,3,0,142,25,1,1,2,1531,1,23,
804,0,0,-164,175,4,0,59,23,1,3,2,1531,1,23,
809,0,0,176,-15,2,0,430,17,0,2,0,1532,0,6,
812,0,0,-187,-32,2,0,45,18,0,4,0,1532,0,6,
813,0,0,197,141,2,0,21,24,1,1,2,1532,0,6,
817,0,0,70,0,3,0,539,7,0,0,3,1532,0,6,
820,0,0,161,13,3,0,233,16,0,2,0,1532,0,6,
825,0,0,-157,141,4,0,181,21,0,3,0,1532,0,6,
826,0,0,144,148,4,0,143,20,0,1,0,1532,0,6,
829,0,0,231,82,1,0,655,24,1,2,4,1534,1,31,
855,0,0,207,137,1,0,315,24,1,1,2,1538,1,2,
859,2,1,0,0,1,0,90,0,0,0,1,1538,1,2,
862,0,0,180,181,2,0,480,25,1,1,2,1538,1,2,
870,0,0,-164,192,3,0,355,25,1,3,2,1538,1,2,
876,0,0,153,51,1,0,534,16,0,2,0,1540,1,21,
880,0,0,-164,116,1,0,34,20,0,4,0,1540,1,21,
886,8,2,0,0,2,0,227,0,0,0,1,1540,1,21,
889,5,0,-107,165,3,0,597,19,0,3,0,1540,1,21,
891,1,1,0,0,3,0,465,0,0,0,1,1540,1,21,
897,8,2,0,0,4,0,518,0,0,0,1,1540,1,21,
902,0,0,-75,243,1,0,689,25,1,0,2,1542,0,13,
903,0,0,-4,63,1,0,559,6,0,0,3,1542,0,13,
908,0,0,85,245,1,0,16,25,1,1,2,1542,0,13,
909,0,0,-69,173,2,0,661,18,0,3,0,1542,0,13,
920,0,0,1,251,4,0,249,25,1,0,2,1542,0,13,
922,0,0,138,127,1,0,324,18,0,1,0,1545,1,28,
924,3,0,159,40,1,0,234,16,0,2,0,1545,1,28,
932,0,0,-37,247,2,0,146,24,1,0,2,1545,1,28,
934,0,0,81,253,3,0,637,26,1,0,2,1545,1,28,
937,0,0,138,219,4,0,421,25,1,1,2,1545,1,28,
941,0,0,127,55,1,0,683,13,0,2,0,1547,0,20,
943,0,0,157,28,1,0,364,15,0,2,0,1547,0,20,
950,0,0,-132,133,2,0,230,18,0,3,0,1547,0,20,
952,0,0,163,72,3,0,704,17,0,2,0,1547,0,20,
954,14,2,0,0,3,0,630,0,0,0,1,1547,0,20,
963,0,0,-168,89,4,0,158,19,0,4,0,1547,0,20,
975,0,0,167,-8,1,0,94,16,0,2,0,1549,0,23,
979,0,0,-56,188,2,0,237,19,0,0,0,1549,0,23,
981,0,0,64,127,2,0,80,14,0,0,3,1549,0,23,
983,0,0,231,0,2,0,0,23,1,2,4,1549,0,23,
985,1,1,7,0,3,0,649,0,0,0,1,1549,0,23,
989,1,1,7,7,4,0,516,0,0,0,1,1549,0,23,
995,0,0,89,177,1,0,382,19,0,1,0,1550,0,7,
998,1,1,0,0,1,0,89,0,0,0,1,1550,0,7,
1008,0,0,39,34,4,0,504,5,0,0,3,1550,0,7,
1019,22,1,0,0,1,0,21,0,0,0,1,1552,1,22,
1023,0,0,172,144,2,0,161,22,0,1,0,1552,1,22,
1026,0,0,153,106,2,0,33,18,0,2,0,1552,1,22,
1029,3,0,144,13,3,0,453,14,0,2,0,1552,1,22,
1034,5,0,117,120,3,0,24,16,0,1,0,1552,1,22,
1036,3,0,-44,34,4,0,316,5,0,0,3,1552,1,22,
1038,0,0,-143,110,4,0,147,18,0,3,0,1552,1,22,
1039,3,0,165,51,4,0,87,17,0,2,0,1552,1,22,
1051,13,3,0,0,2,0,253,0,0,0,1,1554,1,3,
1052,0,0,-126,-15,2,0,220,12,0,4,0,1554,1,3,
1066,0,0,94,108,4,0,210,14,0,2,0,1554,1,3,
1087,0,0,-18,61,4,0,128,6,0,0,3,1557,1,1,
1092,0,0,115,125,4,0,2,16,0,1,0,1557,1,1,
1094,5,0,-12,177,1,0,573,17,0,0,0,1563,0,28,
1098,0,0,94,167,2,0,625,19,0,1,0,1563,0,28,
1099,0,0,1,257,2,0,201,25,1,0,2,1563,0,28,
1102,0,0,180,190,3,0,491,26,1,1,2,1563,0,28,
1118,0,0,191,15,1,0,412,19,0,2,0,1564,0,15,
1131,0,0,64,36,1,0,595,7,0,0,3,1566,0,22,
1133,2,1,0,0,1,0,326,0,0,0,1,1566,0,22,
1135,14,2,0,0,1,0,46,0,0,0,1,1566,0,22,
1138,1,1,0,0,2,0,134,0,0,0,1,1566,0,22,
1139,12,2,0,0,2,0,106,0,0,0,1,1566,0,22,
1142,0,0,201,152,3,0,355,25,1,1,2,1566,0,22,
1151,1,1,-27,15,1,0,121,3,0,0,1,1568,0,14,
1152,0,0,-147,129,2,0,678,19,0,3,0,1568,0,14,
1155,2,1,-12,34,2,0,44,3,0,0,1,1568,0,14,
1165,0,0,-42,198,3,0,33,20,0,0,0,1568,0,14,
1167,11,2,1,21,4,0,666,2,0,0,1,1568,0,14,
1172,1,1,-4,28,4,0,224,2,0,0,1,1568,0,14,
1174,5,0,-4,34,4,0,36,3,0,0,1,1568,0,14,
1180,1,1,0,0,2,0,320,0,0,0,1,1570,0,10,
1200,0,0,167,118,2,0,244,20,0,2,0,1578,0,4,
1202,0,0,167,85,2,0,98,18,0,2,0,1578,0,4,
1227,3,0,117,2,3,0,682,11,0,2,0,1581,0,31,
1228,9,1,5,13,3,0,472,1,0,0,1,1581,0,31,
1229,0,0,-115,112,3,0,265,16,0,3,0,1581,0,31,
1237,1,1,0,0,1,0,578,0,0,0,1,1582,1,8,
1241,0,0,79,125,1,0,64,14,0,2,3,1582,1,8,
1256,0,0,-111,66,1,0,84,12,0,4,0,1584,0,8,
1279,0,0,115,163,3,0,598,19,0,1,0,1585,1,19,
1293,1,1,0,0,3,0,2,0,0,0,1,1585,1,19,
1295,0,0,-126,108,4,0,564,16,0,3,0,1585,1,19,
1319,2,1,0,0,3,0,380,0,0,0,1,1587,1,0,
1320,0,0,14,186,3,0,318,18,0,0,0,1587,1,0,
1321,5,0,-6,78,3,0,282,7,0,0,3,1587,1,0,
1322,3,0,22,68,3,0,27,7,0,0,3,1587,1,0,
1334,0,0,49,257,5,0,3,26,1,0,2,1587,1,0,
1351,20,1,0,0,4,0,477,0,0,0,1,1593,0,17,
1373,0,0,146,-40,3,0,261,15,0,2,0,1594,0,25,
1375,0,0,-166,-6,3,0,117,16,0,4,0,1594,0,25,
1380,1,1,11,9,4,0,644,1,0,0,1,1594,0,25,
1382,5,0,-16,93,1,0,431,9,0,0,3,1596,0,16,
1385,13,3,0,0,2,0,357,0,0,0,1,1596,0,16,
1399,0,0,-50,122,1,0,282,13,0,0,3,1597,0,29,
1403,14,2,0,0,2,0,485,0,0,0,1,1597,0,29,
1428,0,0,-101,-19,3,0,618,10,0,4,0,1599,0,26,
1434,0,0,-115,228,4,0,180,25,1,3,2,1599,0,26,
1444,14,2,0,0,1,0,206,0,0,0,1,1619,1,1,
1448,0,0,226,28,3,0,348,22,1,2,4,1619,1,1,
1466,5,0,-48,192,3,0,414,19,0,0,0,1621,1,7,
1476,0,0,49,186,4,0,468,19,0,0,0,1621,1,7,
1478,0,0,155,112,2,0,647,19,0,2,0,1624,1,5,
1485,0,0,193,23,3,0,542,19,0,2,0,1624,1,5,
1491,2,1,0,0,3,0,5,0,0,0,1,1624,1,5,
1494,3,0,121,47,4,0,431,12,0,2,0,1624,1,5,
1500,1,1,0,0,1,0,197,0,0,0,1,1626,1,4,
1501,3,0,142,-2,2,0,498,14,0,2,0,1626,1,4,
1503,0,0,85,146,2,0,373,16,0,1,0,1626,1,4,
1519,9,1,0,0,2,0,298,0,0,0,1,1822,1,5,
1524,0,0,7,129,3,0,651,12,0,0,3,1822,1,5,
1529,5,0,-27,68,3,0,55,7,0,0,3,1822,1,5,
1533,20,1,0,0,4,0,269,0,0,0,1,1822,1,5,
1538,8,2,0,0,1,0,210,0,0,0,1,1824,0,6,
1539,0,0,180,-15,1,0,40,18,0,2,0,1824,0,6,
1546,1,1,0,0,3,0,253,0,0,0,1,1824,0,6,
1555,0,0,73,171,4,0,130,18,0,1,0,1824,0,6,
1559,0,0,-92,141,1,0,31,16,0,3,0,1825,1,1,
1563,4,0,58,34,3,0,430,6,0,0,3,1825,1,1,
1565,2,1,0,0,4,0,620,0,0,0,1,1825,1,1,
1574,0,0,-141,181,1,0,17,22,0,3,0,1827,1,6,
1591,0,0,-65,173,4,0,29,18,0,3,0,1827,1,6,
1594,0,0,-86,21,1,0,332,8,0,4,0,1832,1,11,
1605,0,0,-172,34,3,0,33,17,0,4,0,1832,1,11,
1611,0,0,91,156,3,0,522,18,0,1,0,1834,1,16,
1614,0,0,-14,179,4,0,654,17,0,0,0,1834,1,16,
1620,0,0,180,0,1,0,628,18,0,2,0,1838,0,2,
1626,0,0,-134,19,2,0,342,13,0,4,0,1838,0,2,
1630,0,0,138,150,3,0,648,20,0,1,0,1838,0,2,
1632,0,0,11,251,3,0,388,25,1,0,2,1838,0,2,
1634,0,0,-8,99,3,0,301,9,0,0,3,1838,0,2,
1643,0,0,-94,137,4,0,135,16,0,3,0,1838,0,2,
1651,0,0,119,163,2,0,320,20,0,1,0,1839,0,1,
1655,0,0,-101,125,3,0,186,16,0,3,0,1839,0,1,
1658,0,0,-124,34,4,0,675,12,0,4,0,1839,0,1,
1659,0,0,3,148,4,0,290,14,0,0,0,1839,0,1,
1665,0,0,-4,198,1,0,30,19,0,0,0,1841,1,3,
1675,0,0,30,129,4,0,500,13,0,0,3,1841,1,3,
1680,12,2,0,0,4,0,65,0,0,0,1,1841,1,3,
1690,0,0,81,144,3,0,83,16,0,1,0,1843,0,9,
1696,0,0,-48,26,1,0,471,5,0,0,3,1844,0,4,
1714,0,0,-33,66,1,0,364,7,0,0,3,1846,1,8,
1721,0,0,-166,144,4,0,629,21,0,3,0,1846,1,8,
1726,0,0,-65,165,1,0,271,17,0,3,0,1848,1,4,
1728,0,0,-58,181,1,0,203,19,0,0,0,1848,1,4,
1734,0,0,104,125,2,0,78,16,0,1,0,1848,1,4,
1735,0,0,125,97,2,0,47,15,0,2,0,1848,1,4,
1740,0,0,3,112,4,0,598,11,0,0,3,1848,1,4,
1744,5,0,-94,125,1,0,382,15,0,4,0,1850,1,26,
1747,0,0,-138,108,1,0,60,17,0,3,0,1850,1,26,
1752,0,0,-138,9,3,0,620,13,0,4,0,1850,1,26,
1763,2,1,0,0,4,0,483,0,0,0,1,1850,1,26,
1765,2,1,0,0,4,0,237,0,0,0,1,1850,1,26,
1769,0,0,-168,120,2,0,511,20,0,4,0,1853,0,13,
1785,3,0,115,76,1,0,696,13,0,2,0,1854,1,7,
1787,0,0,138,76,1,0,570,15,0,2,0,1854,1,7,
1788,1,1,0,0,1,0,413,0,0,0,1,1854,1,7,
1793,0,0,-170,76,2,0,80,18,0,4,0,1854,1,7,
1800,0,0,73,207,1,0,124,21,0,1,0,1858,1,10,
1825,0,0,49,198,1,0,338,20,0,0,0,1860,0,3,
1826,2,1,0,0,1,0,150,0,0,0,1,1860,0,3,
1834,0,0,-84,230,2,0,34,24,1,3,2,1860,0,3,
1843,0,0,169,181,4,0,41,24,1,1,2,1860,0,3,
1844,0,0,184,165,4,0,29,24,1,1,2,1860,0,3,
1848,0,0,159,42,1,0,450,16,0,2,0,1864,1,13,
1849,1,1,0,0,1,0,298,0,0,0,1,1864,1,13,
1860,1,1,0,0,3,0,566,0,0,0,1,1864,1,13,
1863,1,1,0,0,3,0,400,0,0,0,1,1864,1,13,
1875,3,0,100,-8,1,0,6,10,0,2,0,1867,1,9,
1883,0,0,138,137,4,0,576,19,0,1,0,1867,1,9,
1890,0,0,-63,230,1,0,389,23,1,0,2,1869,1,8,
1892,0,0,22,224,3,0,680,22,0,0,0,1869,1,8,
1893,0,0,115,137,3,0,590,17,0,1,0,1869,1,8,
1897,0,0,43,120,3,0,83,12,0,0,3,1869,1,8,
1905,0,0,-164,133,2,0,339,21,0,3,0,1873,0,2,
1908,3,0,73,32,3,0,498,7,0,0,3,1873,0,2,
1931,0,0,43,53,2,0,318,6,0,0,3,1874,0,11,
1940,12,2,0,0,3,0,235,0,0,0,1,1874,0,11,
1943,0,0,28,196,3,0,72,19,0,0,0,1874,0,11,
1947,0,0,-170,224,4,0,18,28,1,3,2,1874,0,11,
1965,3,0,64,133,4,0,72,14,0,0,3,1878,1,15,
1967,0,0,150,144,1,0,590,20,0,1,0,1879,0,8,
1968,0,0,157,127,1,0,307,20,0,1,0,1879,0,8,
1972,2,1,0,0,2,0,230,0,0,0,1,1879,0,8,
1982,0,0,-151,47,3,0,37,15,0,4,0,1879,0,8,
1985,0,0,-136,2,4,0,356,13,0,4,0,1879,0,8,
2005,5,0,119,101,2,0,275,15,0,2,0,1881,1,19,
2010,5,0,-56,108,3,0,19,12,0,0,3,1881,1,19,
2021,0,0,129,110,1,0,473,16,0,1,0,1883,1,2,
2024,5,0,-111,42,1,0,118,11,0,4,0,1883,1,2,
2036,0,0,148,108,1,0,493,18,0,1,0,1886,0,4,
2043,3,0,91,87,3,0,517,12,0,2,0,1886,0,4,
2047,4,0,-162,0,3,0,169,16,0,4,0,1886,0,4,
2049,0,0,-162,135,4,0,467,21,0,3,0,1886,0,4,
2055,0,0,142,0,4,0,99,14,0,2,0,1886,0,4,
2065,0,0,94,203,2,0,645,22,0,1,0,1888,1,1,
2066,0,0,-141,9,3,0,658,14,0,4,0,1888,1,1,
2070,0,0,0,55,3,0,96,5,0,0,3,1888,1,1,
2077,21,2,0,0,2,0,248,0,0,0,1,1890,0,19,
2085,5,0,-12,45,3,0,413,4,0,0,3,1890,0,19,
2095,4,0,167,21,1,0,151,16,0,2,0,1892,0,17,
2097,9,1,0,0,1,0,89,0,0,0,1,1892,0,17,
2108,1,1,0,0,3,0,342,0,0,0,1,1892,0,17,
2112,2,1,1,57,1,0,516,5,0,0,3,1893,0,14,
2113,2,1,30,7,1,0,497,3,0,0,1,1893,0,14,
2122,0,0,153,0,2,0,0,15,0,2,0,1893,0,14,
2139,0,0,85,179,1,0,42,19,0,1,0,1895,0,7,
2144,3,0,174,-2,2,0,542,17,0,2,0,1895,0,7,
2146,0,0,-29,59,2,0,154,6,0,0,3,1895,0,7,
2148,0,0,136,207,2,0,0,24,1,1,2,1895,0,7,
2149,20,1,0,0,3,0,574,0,0,0,1,1895,0,7,
2157,0,0,218,127,4,0,290,25,1,1,2,1895,0,7,
2159,0,0,167,76,1,0,547,18,0,2,0,1896,0,24,
2168,0,0,39,167,2,0,108,17,0,0,0,1896,0,24,
2176,1,1,0,0,4,0,38,0,0,0,1,1896,0,24,
2178,9,1,0,0,5,0,252,0,0,0,1,1896,0,24,
2181,0,0,-94,57,5,0,156,10,0,4,0,1896,0,24,
2187,5,0,-105,17,1,0,527,10,0,4,0,1898,1,11,
2188,0,0,129,28,1,0,477,13,0,2,0,1898,1,11,
2190,0,0,-147,17,1,0,376,14,0,4,0,1898,1,11,
2194,1,1,0,0,1,0,151,0,0,0,1,1898,1,11,
2197,0,0,43,57,2,0,512,7,0,0,3,1898,1,11,
2214,0,0,22,278,3,0,77,27,1,0,2,1898,1,11,
2217,0,0,-138,230,3,0,2,26,1,3,2,1898,1,11,
2222,0,0,-124,169,1,0,236,20,0,3,0,1900,1,21,
2223,0,0,-147,34,1,0,164,15,0,4,0,1900,1,21,
2226,0,0,-176,21,2,0,385,17,0,4,0,1900,1,21,
2230,20,1,0,0,3,0,664,0,0,0,1,1900,1,21,
2240,13,3,0,0,4,0,391,0,0,0,1,1900,1,21,
2247,0,0,214,127,4,0,14,24,1,1,2,1900,1,21,
2250,0,0,-1,63,1,0,568,6,0,0,3,1903,0,0,
2259,3,0,-132,15,3,0,620,13,0,4,0,1903,0,0,
2262,0,0,91,129,3,0,473,15,0,2,0,1903,0,0,
2266,0,0,148,200,3,0,59,24,1,1,2,1903,0,0,
2305,0,0,167,11,3,0,275,16,0,2,0,1907,0,9,
2310,0,0,188,-11,4,0,394,18,0,2,0,1907,0,9,
2313,1,1,0,0,1,0,226,0,0,0,1,1909,1,0,
2319,5,0,157,4,2,0,163,15,0,2,0,1909,1,0,
2320,4,0,100,76,2,0,77,12,0,2,0,1909,1,0,
2345,0,0,-6,53,4,0,637,5,0,0,3,1911,0,15,
2350,9,1,0,0,1,0,618,0,0,0,1,1913,0,29,
2356,0,0,-166,127,1,0,130,20,0,3,0,1913,0,29,
2360,4,0,176,0,2,0,176,17,0,2,0,1913,0,29,
2370,0,0,176,171,1,0,308,24,1,1,2,1914,0,16,
2386,0,0,167,93,4,0,485,19,0,2,0,1914,0,16,
2398,0,0,237,108,2,0,34,26,1,1,2,1916,0,11,
2414,2,1,0,0,1,0,20,0,0,0,1,1918,0,10,
2435,2,1,0,0,2,0,246,0,0,0,1,1921,1,24,
2439,13,3,0,0,3,0,609,0,0,0,1,1921,1,24,
2446,2,1,0,0,3,0,158,0,0,0,1,1921,1,24,
2458,0,0,-149,53,1,0,142,15,0,4,0,1927,1,25,
2465,0,0,-155,76,3,0,605,17,0,4,0,1927,1,25,
2466,0,0,108,167,3,0,490,19,0,1,0,1927,1,25,
2470,0,0,174,47,4,0,583,18,0,2,0,1927,1,25,
2495,2,1,0,0,4,0,27,0,0,0,1,1929,0,13,
2501,0,0,159,82,3,0,562,17,0,2,0,1930,1,29,
2507,0,0,-12,82,4,0,402,8,0,0,3,1930,1,29,
2533,0,0,-174,253,4,0,28,30,1,3,2,1932,0,5,
2537,0,0,-170,137,1,0,196,21,0,3,0,1934,1,12,
2538,0,0,-170,53,1,0,144,17,0,4,0,1934,1,12,
2541,0,0,115,-2,2,0,249,11,0,2,0,1934,1,12,
2542,2,1,0,0,2,0,222,0,0,0,1,1934,1,12,
2544,27,4,1,70,2,0,73,7,0,0,3,1934,1,12,
2554,0,0,-56,76,4,0,174,9,0,4,3,1934,1,12,
2555,0,0,-105,53,4,0,154,11,0,4,0,1934,1,12,
2565,13,3,-1,-4,2,0,298,0,0,0,1,1936,0,23,
2575,2,1,-16,0,3,0,352,1,0,0,1,1936,0,23,
2586,1,1,0,0,1,0,333,0,0,0,1,1937,0,22,
2588,0,0,-71,186,1,0,37,19,0,3,0,1937,0,22,
2594,9,1,0,0,3,0,441,0,0,0,1,1937,0,22,
2617,1,1,0,0,4,0,616,0,0,0,1,1939,0,20,
2618,0,0,62,76,4,0,532,9,0,2,3,1939,0,20,
2623,8,2,0,0,1,0,493,0,0,0,1,1941,0,26,
2631,1,1,0,0,2,0,223,0,0,0,1,1941,0,26,
2640,0,0,64,23,4,0,582,6,0,0,3,1941,0,26,
2642,2,1,0,0,4,0,468,0,0,0,1,1941,0,26,
2647,0,0,-96,167,1,0,594,19,0,3,0,1942,0,7,
2663,0,0,188,108,3,0,221,21,0,2,0,1942,0,7,
2664,0,0,79,118,3,0,44,14,0,2,3,1942,0,7,
2676,0,0,79,207,2,0,265,22,0,1,0,1944,1,14,
2680,11,2,0,0,3,0,549,0,0,0,1,1944,1,14,
2681,0,0,129,163,3,0,303,20,0,1,0,1944,1,14,
2691,0,0,167,-6,1,0,165,16,0,2,0,1949,0,6,
2693,0,0,144,137,1,0,43,19,0,1,0,1949,0,6,
2695,1,1,0,0,2,0,339,0,0,0,1,1949,0,6,
2704,0,0,161,-6,4,0,610,16,0,2,0,1949,0,6,
2708,0,0,-141,230,1,0,475,26,1,3,2,1953,1,20,
2709,11,2,0,0,1,0,463,0,0,0,1,1953,1,20,
2717,2,1,0,0,3,0,525,0,0,0,1,1953,1,20,
2722,0,0,144,129,1,0,455,19,0,1,0,1955,1,22,
2728,0,0,-200,47,1,0,14,20,0,4,0,1955,1,22,
2732,2,1,0,0,2,0,73,0,0,0,1,1955,1,22,
